"Document ID","Document Title",Categories,"Number of Views"
23985,"CLIA: Laboratory Director Responsibilities","Clinical Laboratory Improvement Act (CLIA), Survey and Certification",1
28006,"F-657: Failure to Review and Revise the Care Plan After a Significant Status Change (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",1
33871,"Utah &#8211; Assisted Living Facility Administrative Rules","Assisted Living State Regulations, State Regulations, Utah",1
27869,"F-840 Use of Outside Resources","Appendix PP (F-Tags), Survey and Certification",1
40052,"Bloodborne Pathogens: OSHA 10 Hour Outreach Training General Industry Presentation Handouts","4. Training Programs, Bloodborne Pathogens, OSHA, Safety",1
33913,"Restorative Range of Motion (Passive) &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Nursing, Restorative Nursing Services, Tools and Templates",1
33931,"Restorative Splinting / Brace &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Nursing, Restorative Nursing Services, Tools and Templates",1
472948,"FY 2023 PDPM ICD-10 Mappings: Clinical Category, SLP Comorbidity, NTA Comorbidity","MDS 3.0, PDPM",1
526824,"HIPAA Security Rule to Strengthen the Cybersecurity of Electronic Protected Health Information &#8211; Public Inspection Document","Federal Register, Public Inspection Documents, Survey and Certification",1
471036,"Implementation of Enhanced Barrier Precautions in Nursing Homes to Prevent Spread of Multidrug-Resistant Organisms Presentation","Infection Control, Prevention, Staff Development, Tools and Templates",1
39120,"OSHA Recording and Reporting Occupational Injuries and Illnesses Comprehensive Training Handout","4. Training Programs, OSHA, Recordkeeping, Safety",1
13443,"Link to OSHA&#8217;s Injury Tracking Application","6. Electronic Reporting, OSHA, Recordkeeping, Safety",1
477604,"OSHA Injury Tracking Application Job Aids","6. Electronic Reporting, OSHA, Recordkeeping, Safety",1
39776,"Acute Kidney Failure","Disease Processes – Quick Look, Staff Development, Tools and Templates",1
38973,"A Guide to Restroom Access for Transgender Workers","5. Miscellaneous, Occupational Health and General Environmental Control, OSHA, Safety",1
38974,"Hearing Conservation Informational Booklet","5. Miscellaneous, Occupational Health and General Environmental Control, OSHA, Safety",1
39061,"OSHA Respiratory Protection Standard Training Guide and Handouts","4. Training Programs, OSHA, Personal Protective Equipment, Respiratory Protection, Safety",1
34906,"Washington &#8211; Nursing Home Regulations (Chapter 388-97)","Long Term Care State Regulations, State Regulations, Washington",1
37915,"Therapy Treatment Procedures for Therapeutic Activity Policy","Policies and Procedures, Therapy, Tools and Templates",1
39541,"Hand in Hand: Abuse Prevention Poster","Abuse, Hand in Hand, Instructor Materials, Staff Development, Tools and Templates",1
39539,"Hand in Hand: Abuse Prevention Pledge","Abuse, Hand in Hand, Instructor Materials, Staff Development, Tools and Templates",1
39564,"Hand in Hand: Module 3 Pre-Post Test (Questions with Answer Key)","Abuse, Competencies and Skills, Hand in Hand, Module 3, Staff Development, Tools and Templates",1
475101,"FY2022 Frequently Cited OSHA Standards: Nursing Care Facilities","5. Miscellaneous, General OSHA Information, OSHA, Safety",1
38870,"Respiratory Infection Control: Respirators Versus Surgical Mask Fact Sheet","1. Fact Sheets, OSHA, Personal Protective Equipment, Safety",1
506486,"2024 HCPCS Description List (Excel File)","HCPCS, ICD Codes",1
506215,"Younger Residents &#8211; Chef&#8217;s Table Activity Plan","Activities, Activity Plans, Tools and Templates",1
450788,"Changes in Behavior, Personality or Mood Following Concussion/Mild Traumatic Brain Injury","Survey and Certification, Veterans Affairs",1
519474,"MDS 3.0 Chapter 5: Submission and Correction of the MDS Assessments V1.19.1 (Effective October 1, 2024)","*RAI Manual, Chapter 5, MDS 3.0",1
506777,"September 2025 Activity Calendar","Activities, Activity Calendars, Tools and Templates",1
35455,"CMS-855I Medicare Enrollment Application; Physician, Non-Physician Practitioners Form","CMS, Forms, Medicare, Regulatory Agencies",1
450701,"Levothyroxine Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",1
457988,"New ICD-10 CM Codes for the 2019 Novel Coronavirus (COVID-19)","General Information, ICD Codes, ICD-10",1
25283,"§7006 &#8211; Nursing Facility Citations and Description","Chapters, SOM – Chapter 7, State Operations Manual (SOM), Survey and Certification",1
470353,"FY2023 ICD-10-CM Official Guidelines for Coding and Reporting","Code Sets, ICD Codes, ICD-10",1
22694,"Notice of Denial of Medicare Part D Drug Coverage (English &amp; Spanish)","CMS, Forms, Medicare, Part D, Regulatory Agencies",1
495671,"Skilled Nursing Facility 3-Day Rule Billing Fact Sheet","CMS, Medicare, Medicare Learning Network, Regulatory Agencies",1
444957,"Medicare Appeals (Beneficiary Booklet)","CMS, Medicare, Patient Information, Regulatory Agencies",1
493776,"MDS Section A: SNF Social Determinants of Health and New Data Elements (Training Video)","MDS, Staff Development, Tools and Templates",1
493812,"MDS Section Q: Participation in Assessment and Goal Setting (Training Video)","MDS, Staff Development, Tools and Templates",1
493801,"MDS Section GG: Summary of Guidance Changes (Training Video)","MDS, Staff Development, Tools and Templates",1
450558,"SNF Quality Reporting Program (QRP) Quick Reference Guide (Updated April 2024)","Financial, Measure Specifications, SNF Quality Reporting Program",1
27812,"F-714 Physician Delegation of Tasks to NPP","Appendix PP (F-Tags), Survey and Certification",1
529330,"Extension of Reporting Exception Granted Due to Hurricanes Helene for the States of Georgia, North Carolina, and Tennessee","Financial, Reporting Requirements, SNF Quality Reporting Program",1
27811,"F-713 Physician for Emergency Care, Available 24 Hours","Appendix PP (F-Tags), Survey and Certification",1
22638,"CMS-855S Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) Suppliers Form","CMS, Forms, Medicare, Regulatory Agencies",1
484826,"HCPCS Codes Used for Skilled Nursing Facility Consolidated Billing: October 2023 Update","Billing Guides and Information, Financial",1
27764,"F-624 Preparation for Safe / Orderly Transfer / Discharge","Appendix PP (F-Tags), Survey and Certification",1
39112,"Using OSHA’s Injury Tracking Application to Submit Your Form 300A and Form 300/301 Data &#8211; Video","6. Electronic Reporting, OSHA, Recordkeeping, Safety",1
520300,"OCR Cybersecurity Newsletter: HIPAA Security Rule Facility Access Controls – What Are They and How Do You Implement Them?","HIPAA, Regulatory Agencies, Security Rule",1
527106,"Expanded Recommendations for Use of Pneumococcal Conjugate Vaccines Among Adults Aged ≥50 Years: Recommendations of the Advisory Committee on Immunization Practices — United States, 2024","CDC, Immunization, Regulatory Agencies",1
529781,"FDA Alerts Patients to Regularly Check Diabetes-Related Smartphone Device Alert Settings","FDA, Medical Devices, Regulatory Agencies",1
524512,"Now Available: Updated Annual DTC and MSPB Health Equity Confidential Feedback Reports for Post-Acute Care Providers","Financial, Measure Specifications, SNF Quality Reporting Program",1
27771,"F-639 Maintain 15 Months of Resident Assessments","Appendix PP (F-Tags), Survey and Certification",1
27777,"F-646 MD / ID Significant Change Notification","Appendix PP (F-Tags), Survey and Certification",1
42929,"Supply Chain Resource Worksheet","Addressing Facility Resources, Administrative, Facility Assessment, Tools and Templates",1
42937,"Community Risks Action Plan","Administrative, Community Based Risk Assessment, Facility Assessment, Tools and Templates",1
29767,"Threat and Hazard Identification and Risk Assessment Guide","Administrative, Community Based Risk Assessment, Facility Assessment, Tools and Templates",1
41134,"SSA-632 Request for Waiver of Overpayment Recovery","CMS, Forms, Medicare, Regulatory Agencies",1
485741,"CMS-18-F-5 Application for Part A (Hospital Insurance)","CMS, Forms, Medicare, Regulatory Agencies",1
22652,"OMHA-100 Request for Administrative Law Judge Hearing or Review of Dismissal Form","CMS, Forms, Medicare, Regulatory Agencies",1
22645,"CMS-10328 Voluntary Self-Referral Disclosure Protocol Form","CMS, Forms, Medicare, Regulatory Agencies",1
465270,"CMS-1539 Medicare/Medicaid Certification and Transmittal Form","CMS, Forms, Medicare, Regulatory Agencies",1
41136,"CMS-10114 National Provider Identifier (NPI) Application/Update Form","CMS, Forms, Medicare, Regulatory Agencies",1
22654,"UB-04 CMS-1450 Uniform Bill Form","CMS, Forms, Medicare, Regulatory Agencies",1
464566,"CMS-1893 Outpatient Physical Therapy &#8211; Speech Pathology Survey Report","CMS, Forms, Medicare, Regulatory Agencies",1
41124,"CMS-484 Oxygen Certificate of Medical Necessity Form","CMS, Forms, Medicare, Regulatory Agencies",1
39705,"Module 11: Ethics and Capacity Issues Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Dementia, Staff Development, Tools and Templates",1
33840,"Oklahoma &#8211; Residential Care Homes, Title 310-Chapter 680","Assisted Living State Regulations, Oklahoma, State Regulations",1
33852,"Oklahoma &#8211; Continuum of Care and Assisted Living Act, Title 63 of the Oklahoma Statutes","Assisted Living State Regulations, Oklahoma, State Regulations",1
33848,"Oklahoma &#8211; Continuum of Care and Assisted Living Title 310 &#8211; Chapter 663","Assisted Living State Regulations, Oklahoma, State Regulations",1
27725,"F-562 Immediate Access to Resident","Appendix PP (F-Tags), Survey and Certification",1
29722,"Binder Basics: Compliance and Ethics (Binder Spine)","Administrative, Binder Basics, Compliance and Ethics, Tools and Templates",1
513446,"SNF Provider Preview Reports &#8211; Now Available","Financial, News, SNF Quality Reporting Program",1
23788,"K100 &#8211; General Requirements &#8211; Other","K Tags, Life Safety Code Survey, Section 1: General Requirements, Survey and Certification",1
23790,"K112 &#8211; Sprinkler Requirements for Major Rehabilitation","K Tags, Life Safety Code Survey, Section 1: General Requirements, Survey and Certification",1
23795,"K161 &#8211; Building Construction Type and Height (2012 New)","K Tags, Life Safety Code Survey, Section 1: General Requirements, Survey and Certification",1
23796,"K162 &#8211; Roofing Systems Involving Combustibles (2012 Existing)","K Tags, Life Safety Code Survey, Section 1: General Requirements, Survey and Certification",1
27727,"F-564 Inform of Visitation Rights/Equal Visitation Privileges","Appendix PP (F-Tags), Survey and Certification",1
524916,"Five Star Ratings (October 2024)","Five Star Quality Rating System, Star Ratings, Survey and Certification",1
23895,"K754 &#8211; Soiled Linen and Trash Containers","K Tags, Life Safety Code Survey, Section 7: Operating Features, Survey and Certification",1
23933,"K932 &#8211; Features of Fire Protection &#8211; Other","K Tags, Life Safety Code Survey, Section 9: Health Care Facilities Code Requirements, Survey and Certification",1
450692,"Digoxin Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",1
473754,"After the Flood: Mold-Specific Resources","Emergency Preparedness, Floods, Natural Hazards, Safety",1
521687,"SNF QRP Frequently Asked Questions (Current as of October 1, 2024)","Financial, Reporting Requirements, SNF Quality Reporting Program",1
24603,"Pain Recognition and Management Critical Element Pathway: CMS-20076 Form","5. Investigation, Long Term Care Survey Process, Survey and Certification",1
527539,"Early Alert: Infusion Pump Software Issue from Fresenius Kabi USA","FDA, Recalls and Notices, Regulatory Agencies",1
462029,"Guidance on “Long COVID” and Disability Rights Under the ADA, Section 504, and Section 1557","DOJ, DOL / Human Resources, EEOC, HHS, Regulatory Agencies, Wage and Hour",1
22892,"Form DEA-41: Registrant Record of Controlled Substances Destroyed","DEA, Regulatory Agencies",1
450153,"PBJ Excel to XML Template (Version 4.00.0)","Five Star Quality Rating System, Payroll Based Journal, Survey and Certification",1
450151,"PBJ Data Submission Specifications Overview (Version 4.00.0)","Five Star Quality Rating System, Payroll Based Journal, Survey and Certification",1
32945,"Answer Sheets &#8211; Nursing Home Staff Competency Assessments","CMP Reinvestment Program, Government Initiatives, Toolkit 1",1
32951,"Nursing Home Staff Competency Assessment for Administrator, DON, and ADON &#8211; Paper Version","CMP Reinvestment Program, Government Initiatives, Toolkit 1",1
444403,"Guide to Improving Nursing Home Employee Satisfaction","CMP Reinvestment Program, Government Initiatives, Toolkit 3",1
22623,"Medicare Billing: CMS-1450 &amp; 8371","Billing Guides and Information, Financial",1
12269,"Skilled Nursing Facility (SNF) Billing Reference (10/2020)","Billing Guides and Information, Financial",1
34245,"Controlled Substance Act","DEA, Regulatory Agencies",1
35108,"Patient-Driven Payment Model (PDPM) White Paper Pre-Post Test (Questions with Answer Key)","Administrative, Competencies and Skills, Financial Solutions, PDPM, Staff Development, Tools and Templates",1
461694,"Whistleblower Retaliation Complaint Form","Administrative, Compliance and Ethics, Forms and Checklists, Tools and Templates",1
458890,"Pre or Post Payment Medical Records Supporting Documentation Request Cover Letter","Administrative, Financial Solutions, MDS 3.0, PDPM, PDPM, Tools and Templates",1
35300,"MLN Fact Sheet: Medicare Overpayments","Billing Compliance, Financial, Improper Payments",1
34962,"False Claims Act","Compliance and Ethics, Government Initiatives, Regulations",1
34951,"Civil Money Penalties Law","Compliance and Ethics, Government Initiatives, Regulations",1
526855,"Early Alert: Solution Set Issue from Baxter Healthcare Corporation","FDA, Recalls and Notices, Regulatory Agencies",1
23111,"Dietary Guidelines for Americans 2020-2025","FDA, Food, Regulatory Agencies",1
23127,"Top 10 Things You Need to Know About the 2020-2025 Dietary Guidelines for Americans","FDA, Food, Regulatory Agencies",1
23034,"Glossary of Health Coverage and Medical Terms","DOL / Human Resources, Forms &amp; Posters, Regulatory Agencies, Wage and Hour",1
13338,"The Use of Metrics in Process Safety Management (PSM) Facilities","1. Fact Sheets, Hazardous Materials, OSHA, Safety",1
38044,"Soiled Linen and Trash Containers Policy","Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Tools and Templates",1
451838,"F-656: Elopement Resulting in Resident Leaving Facility Unsupervised (Immediate Jeopardy Removal Plan)","Immediate Jeopardy Removal Plans, Survey Management, Tools and Templates",1
529348,"FDA Safety Communication: Cybersecurity Vulnerabilities with Certain Patient Monitors from Contec and Epsimed","FDA, Medical Devices, Regulatory Agencies",1
462326,"Dysphagia Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Nutrition and Hydration, Staff Development, Tools and Templates",1
454201,"CDC Mini Webinar Series &#8211; COVID-19 Prevention Training for Long-Term Care Staff (Links to Training)","CDC, Coronavirus, Infection Control, Prevention, Regulatory Agencies, Staff Development, Tools and Templates",1
450253,"Ostomy Care: Assessment and Management Basics Training Presentation Handouts","Ostomy Care, Staff Development, Tools and Templates",1
450254,"Ostomy Care: Assessment and Management Basics In-Service Training Guide","Ostomy Care, Staff Development, Tools and Templates",1
513746,"Minimum Staffing Standards for Long-Term Care Facilities and Medicaid Institutional Payment Transparency Reporting &#8211; Public Inspection Document","Federal Register, Public Inspection Documents, Survey and Certification",1
22274,"E0002 &#8211; Establishment of the EP Program Transplant","Appendix Z (E-Tags), Survey and Certification",1
39818,Depression,"Disease Processes – Quick Look, Staff Development, Tools and Templates",1
40762,"Medicare Advantage and Other Medicare Health Plans Training Program","Billing, Compliance and Ethics, Staff Development, Tools and Templates",1
519520,"Section X: Correction Request V1.19.1 (Effective October 1, 2024)","*RAI Manual, Chapter 3, MDS 3.0",1
459272,"Q4FY21 Skilled Nursing Facility PEPPER Review (Spring 2022)","Billing Compliance, Financial, PEPPER",1
463084,"Developing and Maintaining Emergency Operations Plans Comprehensive Preparedness Guide (CPG) 101","Basic Preparedness, Emergency Planning, Emergency Preparedness, Safety",1
33534,"Mississippi &#8211; Assisted Living Regulations","Assisted Living State Regulations, Mississippi, State Regulations",1
13153,"National Mitigation Framework","Emergency Preparedness, NIMS, Safety, Supplemental Documents",1
13158,"National Incident Management System","Emergency Preparedness, NIMS, Safety, Supplemental Documents",1
40282,"Five Star: Navigating the Methodology of Quality Ratings Training Presentation Handout","Five Star, Staff Development, Tools and Templates",1
33501,"Table Toss Activity Plan","Activities, Activity Plans, Tools and Templates",1
24581,"Initial Pool Process: Resident Representative Interview","3. Initial Pool Process, Long Term Care Survey Process, Survey and Certification",1
524436,"Updated Fiscal Years 2026 and 2027 Skilled Nursing Facility Value-Based Purchasing (SNF VBP) Program Performance Standards","Financial, SNF Value-Based Purchasing Program",1
526827,"Medicare Program: Appeal Rights for Certain Changes in Patient Status and Changes to the Medicare Claims and Medicare Prescription Drug Coverage Determination Appeals Procedures; Correcting Amendment","2024 Federal Register, Federal Register, Survey and Certification",1
27912,"F-943 Abuse, Neglect, and Exploitation Training","Appendix PP (F-Tags), Survey and Certification",1
484296,"CVA/Stroke Training Presentation","Neurological Care, Staff Development, Tools and Templates",1
458118,"Diabetes &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
43368,"End-Stage Renal Disease Training Presentation","Renal Disease, Staff Development, Tools and Templates",1
468000,"Occupational Therapist Job Description","Human Resources, Job Descriptions, Tools and Templates",1
25037,"§5080 &#8211; Investigation Findings and Reports","Chapters, SOM – Chapter 5, State Operations Manual (SOM), Survey and Certification",1
25287,"§7014 &#8211; Special Waivers Applicable to SNFs and NFs","Chapters, SOM – Chapter 7, State Operations Manual (SOM), Survey and Certification",1
40355,"Workplace Safety: Fire Protection, Hazard Communication, Workplace Violence, and Reporting Training Presentation","Staff Development, Tools and Templates, Workplace Safety",1
504995,"Supervision/Touching Assist Mobility Abilities &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
468003,"Physical Therapist Job Description","Human Resources, Job Descriptions, Tools and Templates",1
468493,"Physical Therapy Assistant Job Description","Human Resources, Job Descriptions, Tools and Templates",1
13064,"Be Prepared for an Active Shooter","Active Shooter, Emergency Preparedness, Man Made Hazards, Safety",1
452116,"F-700: Failure to Assess Resident for the Risk of Bed Rail Entrapment Resulting in Harm (Immediate Jeopardy Removal Plan)","Immediate Jeopardy Removal Plans, Survey Management, Tools and Templates",1
452172,"F-803: Failure to Follow Resident’s Diet Resulting in Choking Death (Immediate Jeopardy Removal Plan)","Immediate Jeopardy Removal Plans, Survey Management, Tools and Templates",1
463904,"Request for COVID-19 Religious Exemption Form","Forms and Checklists, Infection Control, Nursing, Tools and Templates",1
451347,"TB and Diabetes","CDC, Regulatory Agencies, Tuberculosis",1
22576,"Document Id: 22576 (Deleted)",,1
22565,"Mantoux Wall Chart","CDC, Regulatory Agencies, Tuberculosis",1
38708,"Health Care Personnel Baseline Individual TB Risk Assessment","CDC, Regulatory Agencies, Tuberculosis",1
22579,"Document Id: 22579 (Deleted)",,1
451343,"Latent Tuberculosis Infection Treatment Regimens","CDC, Regulatory Agencies, Tuberculosis",1
22571,"Questions and Answers about Tuberculosis (2025)","CDC, Regulatory Agencies, Tuberculosis",1
467409,"Medicare Part A and Other Insurance Unpaid Claims Tracking Tool","Administrative, Business Office, Tools, Tools and Templates",1
460211,"Consolidated Billing: Medicare Part A Skilled Nursing Episode of Care Training Presentation","Billing, Staff Development, Tools and Templates",1
468994,"Parkinson&#8217;s Disease Training Presentation","Neurological Care, Staff Development, Tools and Templates",1
524766,"OCR Cybersecurity Newsletter: Social Engineering &#8211; Searching for Your Weakest Link","HIPAA, Regulatory Agencies, Security Rule",1
468013,"DVT/PE &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
450678,"Antithrombotics/Antiplatelets Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",1
39804,"Chronic Obstructive Pulmonary Disease (COPD)","Disease Processes – Quick Look, Staff Development, Tools and Templates",1
13147,"An Introduction to the National Incident Management System IS 0700.b","Emergency Preparedness, Independent Study Course Materials, NIMS, Safety",1
520723,"Five Star Ratings (August 2024)","Five Star Quality Rating System, Star Ratings, Survey and Certification",1
458946,"Clostridiodies Difficile Training Presentation","Common Infections, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",1
470671,"Osteomyelitis Training Presentation","Common Infections, Infection Control, Infection Control, Musculoskeletal Care, Nursing, Staff Development, Tools and Templates, Training",1
466864,"Pneumonia Training Presentation Handouts","Common Infections, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",1
473758,"Tips for Retaining and Caring for Staff After a Disaster","Basic Preparedness, Emergency Preparedness, Response and Recovery, Safety",1
461170,"Shelter-in-Place for Active Shooter","Active Shooter, Emergency Preparedness, Man Made Hazards, Safety",1
461173,"Shelter-in-Place for Chemical Hazard","Emergency Preparedness, Man Made Hazards, Safety, Terrorist Attacks",1
461996,"Bomb Threat Checklist","Emergency Preparedness, Man Made Hazards, Safety, Terrorist Attacks",1
519762,"National Heat Strategy 2024-2030","Emergency Preparedness, Extreme Heat, Natural Hazards, Safety",1
37751,"Frequent Questions about the Management Standards for Hazardous Waste Pharmaceuticals","EPA, General Information, Safety",1
13090,"Food and Water Safety During Power Outages and Floods","Emergency Preparedness, Floods, Natural Hazards, Safety",1
473820,"Healthcare Facilities and Power Outages","Emergency Preparedness, Natural Hazards, Power Outages, Safety",1
513175,"Apply the 4Rs to Create a Trauma-Informed Approach in Nursing Facilities","Regulatory Agencies, SAMHSA",1
510441,"Behavioral Health Needs Assessment: A Resource To Support the Annual Facility-Wide Assessment","Regulatory Agencies, SAMHSA",1
40754,"Section 1557 of the Affordable Care Act &#8211; A Civil Rights Training Presentation Pre-Post Test (Questions with Answer Key)","Affordable Care Act, Competencies and Skills, Compliance and Ethics, Staff Development, Tools and Templates",1
40749,"Section 1557 of the Affordable Care Act &#8211; A Civil Rights Training Presentation","Affordable Care Act, Compliance and Ethics, Staff Development, Tools and Templates",1
450716,"Valproic Acid Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",1
28019,"F-689: Failure to Provide Adequate Supervision While Smoking (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",1
38953,"Subpart G: Occupational Health and Environmental Control Regulations Part 1910","2. Regulations, Occupational Health and General Environmental Control, OSHA, Safety",1
27601,"HIPAA Privacy and Security &#8211; Workplace Wellness Programs","HIPAA, Privacy Rule, Regulatory Agencies",1
464847,"HIPAA Privacy Rule and Disclosures of Protected Health Information for Extreme Risk Protection Orders","HIPAA, Privacy Rule, Regulatory Agencies",1
27551,"OCR HIPAA Audit Protocol","Administrative Simplification, HIPAA, Regulatory Agencies",1
27582,"Decision Tree: When Can I Obtain Treatment Information About My Loved One?","HIPAA, Privacy Rule, Regulatory Agencies",1
27528,"HIPAA Breach Notification Rule: Guidance and Request for Information (April 27, 2009)","*Regulations, HIPAA, Regulatory Agencies",1
27540,"Minimum Necessary Standard for HIPAA Privacy Rule: 45 CFR 164.502(b), 164.514(d)","*Regulations, HIPAA, Regulatory Agencies",1
33857,"Pennsylvania &#8211; Regulations for Assisted Living Residences (Chapter 2800)","Assisted Living State Regulations, Pennsylvania, State Regulations",1
27628,"Protect Your Workplace: Cybersecurity Guidance Posters","HIPAA, Regulatory Agencies, Security Rule",1
457778,"Urinary Tract Infection Training Presentation Handout","Bladder and Bowel, Staff Development, Tools and Templates",1
34925,"Montana &#8211; Administrative Rules for Assisted Living Facilities","Assisted Living State Regulations, Montana, State Regulations",1
12202,"CERT: Skilled Nursing Facility Certifications and Recertifications","Billing Compliance, CERT, Financial",1
457273,"BPCI Advanced Model Year 6 Fact Sheet","Alternative Payment Models, Bundled Payments for Care Improvement, Financial",1
453597,"CMS Innovation Center Models COVID-19 Related Adjustments","Alternative Payment Models, Bundled Payments for Care Improvement, Financial",1
12403,"Comprehensive Care for Joint Replacement (CJR) Model Hospital List","Alternative Payment Models, Bundled Payments for Care Improvement, Financial",1
34890,"Exclusion from Participation in Federal Health Care Programs","Compliance and Ethics, Government Initiatives, Guidance Documents",1
501938,"Patient Driven Payment Model Claim Edits","MDS 3.0, PDPM",1
27678,"Security Risk Assessment (SRA) Tool v3.5 Online User Guide","ASTP/ONC, HIPAA, Regulatory Agencies, Security Rule",1
23572,"Federal Health IT Strategic Plan (2024-2030)","ASTP/ONC, HHS, Regulatory Agencies",1
23064,"Ideas You Can Implement Right Now to Integrate Protection and Promotion of Worker Well-Being","DOL / Human Resources, Human Resources, Regulatory Agencies, Total Worker Health",1
23068,"OSHA Sustainability in the Workplace: A New Approach for Advancing Worker Safety and Health","DOL / Human Resources, Human Resources, Regulatory Agencies, Total Worker Health",1
491680,"Cybersecurity Checklists","ASTP/ONC, Regulatory Agencies",1
27510,"Antibiotic Stewardship in Nursing Homes &#8211; Infographic","Antibiotic Stewardship, CDC, Regulatory Agencies",1
13337,"The Importance of Root Cause Analysis During an Incident Investigation","1. Fact Sheets, Hazardous Materials, OSHA, Safety",1
444602,"Ransomware &#8211; What It is and What to Do about It","ASTP/ONC, Regulatory Agencies",1
34732,"South Dakota Health Facility Licensure &#8211; Nursing Facilities (Article 44:73) and Nurse Aides (Article 44:74)","Long Term Care State Regulations, South Dakota, State Regulations",1
37930,"Data Locations IT Policy","Information Technology, Policies and Procedures, Tools and Templates",1
37972,"Software Purchase IT Policy","Information Technology, Policies and Procedures, Tools and Templates",1
41439,"Q &amp; A: FMLA","DOL / Human Resources, Family &amp; Medical Leave, FAQs, Regulatory Agencies, Wage and Hour",1
38213,"Topic 5: Overtime (Video)","DOL / Human Resources, FLSA Compliance Videos, Regulatory Agencies, Wage and Hour",1
458949,"Clostridiodies Difficile Training Presentation Handouts","Common Infections, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",1
39640,"Identity Theft &#8211; Data Breach Recovery Checklist","ASTP/ONC, Regulatory Agencies",1
33191,"PDPM Fact Sheet: Concurrent and Group Therapy Limit","MDS 3.0, PDPM",1
33219,"Skilled Nursing Facilities Patient-Driven Payment Model Technical Report","MDS 3.0, PDPM",1
22828,"National Report: A Review of Preadmission Screening and Resident (PASRR) Review Programs","CMS, PASRR, Regulatory Agencies",1
22830,"PASRR Statutes","CMS, PASRR, Regulatory Agencies",1
499580,"Infection Control Actions to Stop the Spread of Respiratory Infections &#8211; Posters","CDC, Coronavirus, Infection Control, Influenza, Regulatory Agencies",1
463071,"Testing and Management Considerations for Nursing Home Residents When SARS- CoV-2 and Influenza Viruses are Co-Circulating","CDC, Coronavirus, Influenza, Regulatory Agencies",1
27730,"F-567 Protection/Management of Personal Funds","Appendix PP (F-Tags), Survey and Certification",1
485979,"Statement of Work (SOW) for the Part A/B Medicare Fee-for-Service Recovery Audit Contractor (RAC) &#8212; Region 2","Billing Compliance, Financial, RA",1
485948,"RY 2024 Contractor Roles and Responsibilities","Billing Compliance, Financial, PERM",1
34900,"OIG&#8217;s Provider Self Disclosure Protocol","Compliance and Ethics, Government Initiatives, Guidance Documents",1
530751,"Virginia &#8211; Assisted Living Facilities: General Procedures and Information for Licensure","Assisted Living State Regulations, State Regulations, Virginia",1
33721,"Chronic Obstructive Pulmonary Disease &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
33626,"Feeding Tube &#8211; Continuous &#8220;I&#8221; Care Plan","Care Plans, Care Plans, Food and Nutrition Service, MDS, Tools and Templates",1
33675,"Altered Elimination Device &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
458186,"Anemia &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
509193,"Generalized Anxiety Disorder (GAD-7)","Regulatory Agencies, SAMHSA",1
509089,"Geriatric Depression Scale","Regulatory Agencies, SAMHSA",1
515883,"Nonpharmacological Approaches to Depression Management","Regulatory Agencies, SAMHSA",1
509087,"Patient Health Questionnaire 9 &#8211; (PHQ-9)","Regulatory Agencies, SAMHSA",1
509085,"Rapid Cycle PDSA Worksheet","Regulatory Agencies, SAMHSA",1
504509,"Schizophrenia Facts","Regulatory Agencies, SAMHSA",1
471583,"Trauma Informed Care Screening and Assessment Toolkit","Regulatory Agencies, SAMHSA",1
477318,"Supporting Mental Health in the Workplace: Getting Started Guide","5. Miscellaneous, General OSHA Information, OSHA, Safety",1
477320,"Supporting Mental Health in the Workplace: Checklist for Managers and Supervisors","5. Miscellaneous, General OSHA Information, OSHA, Safety",1
39090,"Staying Safe at Work Curriculum","5. Miscellaneous, General OSHA Information, OSHA, Safety",1
39092,"Safe Lifting and Movement of Nursing Home Residents","5. Miscellaneous, General OSHA Information, OSHA, Safety",1
